State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.05, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 0.80, Vel m/s: 1.21, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.51, Y: 0.11), Rotation2d(Rads: 0.65, Deg: 36.97)), Curvature: 1.84), 
State(Sec: 0.83, Vel m/s: 1.24, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.54, Y: 0.13), Rotation2d(Rads: 0.70, Deg: 39.99)), Curvature: 1.60), 
State(Sec: 0.85, Vel m/s: 1.28, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.56, Y: 0.15), Rotation2d(Rads: 0.74, Deg: 42.59)), Curvature: 1.32), 
State(Sec: 0.90, Vel m/s: 1.35, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.60, Y: 0.19), Rotation2d(Rads: 0.81, Deg: 46.40)), Curvature: 0.78), 
State(Sec: 0.95, Vel m/s: 1.43, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.65, Y: 0.24), Rotation2d(Rads: 0.85, Deg: 48.42)), Curvature: 0.31), 
State(Sec: 1.00, Vel m/s: 1.50, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.70, Y: 0.29), Rotation2d(Rads: 0.85, Deg: 48.89)), Curvature: -0.04), 
State(Sec: 1.04, Vel m/s: 1.57, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.74, Y: 0.35), Rotation2d(Rads: 0.84, Deg: 48.20)), Curvature: -0.27), 
State(Sec: 1.09, Vel m/s: 1.64, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.79, Y: 0.40), Rotation2d(Rads: 0.82, Deg: 46.78)), Curvature: -0.37), 
State(Sec: 1.14, Vel m/s: 1.71, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.85, Y: 0.46), Rotation2d(Rads: 0.79, Deg: 45.10)), Curvature: -0.37), 
State(Sec: 1.18, Vel m/s: 1.78, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.90, Y: 0.51), Rotation2d(Rads: 0.76, Deg: 43.67)), Curvature: -0.25), 
State(Sec: 1.23, Vel m/s: 1.84, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 3.96, Y: 0.57), Rotation2d(Rads: 0.75, Deg: 43.05)), Curvature: 0.00), 
State(Sec: 1.27, Vel m/s: 1.91, Accel m/s/s: -0.83, Pose: Pose2d(Translation2d(X: 4.02, Y: 0.62), Rotation2d(Rads: 0.78, Deg: 44.96)), Curvature: 0.73), 
State(Sec: 1.32, Vel m/s: 1.87, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.08, Y: 0.68), Rotation2d(Rads: 0.86, Deg: 49.18)), Curvature: 0.94), 
State(Sec: 1.36, Vel m/s: 1.94, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.13, Y: 0.76), Rotation2d(Rads: 0.94, Deg: 53.72)), Curvature: 0.79), 
State(Sec: 1.41, Vel m/s: 2.01, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.19, Y: 0.83), Rotation2d(Rads: 1.00, Deg: 57.36)), Curvature: 0.52), 
State(Sec: 1.46, Vel m/s: 2.09, Accel m/s/s: -0.52, Pose: Pose2d(Translation2d(X: 4.24, Y: 0.92), Rotation2d(Rads: 1.04, Deg: 59.56)), Curvature: 0.23), 
State(Sec: 1.52, Vel m/s: 2.06, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.30, Y: 1.02), Rotation2d(Rads: 1.05, Deg: 60.16)), Curvature: -0.03), 
State(Sec: 1.57, Vel m/s: 1.98, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.36, Y: 1.12), Rotation2d(Rads: 1.03, Deg: 59.10)), Curvature: -0.29), 
State(Sec: 1.63, Vel m/s: 1.89, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.42, Y: 1.21), Rotation2d(Rads: 0.98, Deg: 56.27)), Curvature: -0.57), 
State(Sec: 1.69, Vel m/s: 1.80, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.48, Y: 1.31), Rotation2d(Rads: 0.90, Deg: 51.54)), Curvature: -0.89), 
State(Sec: 1.72, Vel m/s: 1.75, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.52, Y: 1.35), Rotation2d(Rads: 0.85, Deg: 48.42)), Curvature: -1.07), 
State(Sec: 1.76, Vel m/s: 1.70, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.56, Y: 1.39), Rotation2d(Rads: 0.78, Deg: 44.79)), Curvature: -1.24), 
State(Sec: 1.79, Vel m/s: 1.65, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 4.60, Y: 1.43), Rotation2d(Rads: 0.71, Deg: 40.66)), Curvature: -1.41), 
State(Sec: 1.82, Vel m/s: 1.60, Accel m/s/s: -1.04, Pose: Pose2d(Translation2d(X: 4.64, Y: 1.46), Rotation2d(Rads: 0.63, Deg: 36.11)), Curvature: -1.55), 
State(Sec: 1.85, Vel m/s: 1.57, Accel m/s/s: -0.51, Pose: Pose2d(Translation2d(X: 4.68, Y: 1.49), Rotation2d(Rads: 0.55, Deg: 31.24)), Curvature: -1.65), 
State(Sec: 1.87, Vel m/s: 1.56, Accel m/s/s: -0.14, Pose: Pose2d(Translation2d(X: 4.71, Y: 1.50), Rotation2d(Rads: 0.50, Deg: 28.73)), Curvature: -1.67), 
State(Sec: 1.89, Vel m/s: 1.56, Accel m/s/s: 0.25, Pose: Pose2d(Translation2d(X: 4.73, Y: 1.51), Rotation2d(Rads: 0.46, Deg: 26.19)), Curvature: -1.68), 
State(Sec: 1.91, Vel m/s: 1.56, Accel m/s/s: 0.64, Pose: Pose2d(Translation2d(X: 4.75, Y: 1.52), Rotation2d(Rads: 0.41, Deg: 23.65)), Curvature: -1.67), 
State(Sec: 1.92, Vel m/s: 1.57, Accel m/s/s: 1.25, Pose: Pose2d(Translation2d(X: 4.78, Y: 1.53), Rotation2d(Rads: 0.37, Deg: 21.13)), Curvature: -1.64), 
State(Sec: 1.96, Vel m/s: 1.62, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.83, Y: 1.55), Rotation2d(Rads: 0.28, Deg: 16.27)), Curvature: -1.52), 
State(Sec: 1.99, Vel m/s: 1.67, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.88, Y: 1.56), Rotation2d(Rads: 0.21, Deg: 11.80)), Curvature: -1.35), 
State(Sec: 2.02, Vel m/s: 1.71, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.94, Y: 1.57), Rotation2d(Rads: 0.14, Deg: 7.86)), Curvature: -1.13), 
State(Sec: 2.05, Vel m/s: 1.76, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 4.99, Y: 1.58), Rotation2d(Rads: 0.08, Deg: 4.61)), Curvature: -0.88), 
State(Sec: 2.09, Vel m/s: 1.81, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.05, Y: 1.58), Rotation2d(Rads: 0.04, Deg: 2.14)), Curvature: -0.61), 
State(Sec: 2.15, Vel m/s: 1.91, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.17, Y: 1.58), Rotation2d(Rads: -0.00, Deg: -0.00)), Curvature: -0.00), 
State(Sec: 2.21, Vel m/s: 2.00, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.29, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.27, Vel m/s: 2.09, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.41, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.33, Vel m/s: 2.17, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.53, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.36, Vel m/s: 2.22, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.60, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.39, Vel m/s: 2.26, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.66, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.42, Vel m/s: 2.31, Accel m/s/s: 1.50, Pose: Pose2d(Translation2d(X: 5.73, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.45, Vel m/s: 2.35, Accel m/s/s: -0.38, Pose: Pose2d(Translation2d(X: 5.80, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.48, Vel m/s: 2.34, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 5.87, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.51, Vel m/s: 2.29, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 5.94, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.54, Vel m/s: 2.24, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.02, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.58, Vel m/s: 2.19, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.09, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.61, Vel m/s: 2.14, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.17, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.65, Vel m/s: 2.08, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.25, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.69, Vel m/s: 2.02, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.33, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.73, Vel m/s: 1.96, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.42, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.78, Vel m/s: 1.89, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.50, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.82, Vel m/s: 1.82, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.59, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.87, Vel m/s: 1.75, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.68, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.92, Vel m/s: 1.67, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.77, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 2.98, Vel m/s: 1.59, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.86, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.04, Vel m/s: 1.50, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 6.95, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.10, Vel m/s: 1.41, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.04, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.17, Vel m/s: 1.30, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.13, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.24, Vel m/s: 1.19, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.22, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.33, Vel m/s: 1.07, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.32, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.42, Vel m/s: 0.92, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.41, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.53, Vel m/s: 0.75, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.51, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 3.68, Vel m/s: 0.53, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.60, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00), 
State(Sec: 4.04, Vel m/s: 0.00, Accel m/s/s: -1.50, Pose: Pose2d(Translation2d(X: 7.70, Y: 1.58), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.00)
